ADDRESS_ID,HOUSE_NUMBER,ADDRESS_LINE_1,POSTAL_CODE,CITY,COUNTRY_CODE,VALID_FROM,VALID_TO
1,01,61739 Ruskin Street,14-210,Iława,PL,09.02.2023,28.12.4194
2,04,15 Stephen Road,,Zaki Biam,NG,03.11.2022,09.03.5832
3,03,2523 Jenifer Trail,,Markaz Mudhaykirah,YE,08.03.2023,09.09.4489
4,03,151 Kipling Park,68264 CEDEX,Kingersheim,FR,11.02.2023,30.12.2704
5,02,50 Ludington Trail,,Bayt Līd,PS,14.05.2023,19.03.2122
6,01,31 Drewry Point,,Pithári,GR,29.10.2022,13.04.7813
7,03,0074 Sundown Point,,Dongchen,CN,12.01.2023,30.12.3223
8,04,53817 Luster Center,,Skoura,MA,05.12.2022,03.02.7678
9,03,62 7th Way,612091,Nizhneivkino,RU,26.12.2022,28.10.9915
10,05,6236 Bunting Road,34400-000,Raposos,BR,10.12.2022,10.08.2143
11,02,01257 Esch Terrace,,Xiangcunxiang,CN,05.01.2023,24.06.2809
12,05,5 Walton Hill,,Остров Пасхи,CL,06.04.2023,05.01.6289
13,02,38039 Macpherson Terrace,671178,Gusinoozyorsk,RU,18.10.2022,29.02.3644
14,01,28159 Florence Crossing,3228,Chajarí,AR,17.02.2023,01.09.3305
15,01,983 Manley Street,83344,Buenos Aires,MX,15.04.2023,03.01.8626
16,02,3 Judy Way,252257,Granada,CO,16.10.2022,27.03.5296
17,01,439 Green Court,3807,Morrelgonj,BD,16.05.2023,19.06.4862
18,03,71594 Mcbride Lane,,Topory,UA,16.03.2023,12.08.3807
19,04,0966 Independence Plaza,,Bondokodi,ID,10.05.2023,11.11.8795
20,05,676 Hooker Pass,731048,Líbano,CO,27.12.2022,05.02.9055
21,05,76171 Homewood Crossing,,Mengdong,CN,07.05.2023,12.09.3303
22,04,4 Pierstorff Circle,,Munturkaju,ID,12.05.2023,02.02.9812
23,05,80342 Clemons Crossing,,Okahandja,NA,02.11.2022,20.02.9610
24,04,9 Dixon Road,,Quinocay,PE,21.10.2022,03.11.3148
25,02,29522 Nancy Alley,,Kampungladang,ID,15.02.2023,30.11.3171
26,02,61 Randy Hill,4503,San Antonio,AR,17.02.2023,22.07.9295
27,02,54 Atwood Park,90055,Los Angeles,US,23.03.2023,04.06.9929
28,03,23 Pankratz Court,,Cigalontang,ID,03.10.2022,11.03.5009
29,03,40077 Lotheville Park,,Zicheng,CN,29.10.2022,30.11.6454
30,03,220 Debs Avenue,747 30,Alunda,SE,14.12.2022,04.05.3815
31,05,8 Westridge Crossing,,Chunyang,CN,05.11.2022,18.11.8956
32,04,26 Hollow Ridge Way,332 24,Gislaved,SE,23.01.2023,02.11.2079
33,01,56505 Heffernan Lane,63150,Saint Louis,US,14.02.2023,26.06.3168
34,05,1746 Clove Avenue,,Yunxi,CN,27.12.2022,15.12.6410
35,03,4 Arapahoe Terrace,,Tohong,ID,10.01.2023,30.08.6797
