CUSTOMER_ID,SHIP_TO_ADDRESS,BILLING_ADDRESS,PHONE_NUMBER,NOTES,ADDRESS_ADDRESS_ID,DUMMY_ID
1,04,Suite 21,954-390-6526,Donec posuere metus vitae ipsum.,1,1
2,04,Room 193,332-765-4760,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2,2
3,02,PO Box 74289,387-632-3383,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3,3
4,01,Apt 1655,881-513-6221,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4,4
5,03,11th Floor,184-104-1083,Morbi quis tortor id nulla ultrices aliquet.,5,5
6,04,Apt 1890,385-295-6024,Aliquam non mauris.,6,6
7,04,PO Box 32201,757-766-5956,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",7,7
8,04,Room 1796,551-523-2972,Etiam vel augue. Vestibulum rutrum rutrum neque.,8,8
9,04,Room 1908,879-182-4738,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",9,9
10,02,Apt 1385,654-995-3396,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,10,10
11,05,Apt 267,421-438-2583,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,11,11
12,01,PO Box 21929,126-148-3364,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",12,12
13,01,Suite 21,531-217-0935,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",13,13
14,05,19th Floor,629-908-8894,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,14,14
15,04,PO Box 37762,663-445-2509,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",15,15
16,02,Apt 1556,106-167-1885,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",16,16
17,02,PO Box 36240,676-833-4235,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,17,17
18,04,Apt 1838,626-524-9868,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",18,18
19,03,Room 434,149-761-8959,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",19,19
20,04,Room 1406,357-237-8699,Morbi a ipsum. Integer a nibh. In quis justo.,20,20
21,04,PO Box 91416,697-127-3651,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,21,21
22,05,Room 1349,149-165-2914,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",22,22
23,03,Suite 99,880-588-2782,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",23,23
24,03,Apt 1967,517-826-5423,Maecenas tincidunt lacus at velit.,24,24
25,02,PO Box 73558,146-795-4656,In blandit ultrices enim.,25,25
26,01,3rd Floor,264-696-1481,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",26,26
27,02,18th Floor,123-558-1898,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",27,27
28,01,Apt 1501,965-447-7126,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,28,28
29,01,Apt 1601,471-515-4941,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",29,29
30,03,Room 1334,443-650-1198,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",30,30
31,05,17th Floor,400-981-7087,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",31,31
32,04,Suite 14,367-863-8093,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,32,32
33,05,Room 1216,315-512-8024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",33,33
34,05,4th Floor,952-559-9114,Quisque ut erat. Curabitur gravida nisi at nibh.,34,34
35,03,PO Box 4637,321-256-9984,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",35,35
36,03,2nd Floor,434-864-6715,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",36,36
37,05,Apt 1029,121-424-8238,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",37,37
38,04,Suite 84,263-199-3258,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",38,38
39,03,Suite 54,395-353-4290,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",39,39
40,02,PO Box 80556,157-712-1472,Sed accumsan felis.,40,40
41,05,19th Floor,327-715-7119,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",41,41
42,04,Room 773,634-763-2356,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",42,42
43,03,11th Floor,377-954-3846,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,43,43
44,03,Room 855,149-571-7921,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",44,44
45,05,Room 1838,955-214-8769,Morbi a ipsum. Integer a nibh. In quis justo.,45,45
46,03,Apt 747,679-465-1069,Nam dui.,46,46
47,01,Apt 714,724-429-4860,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",47,47
48,05,Suite 24,560-237-9626,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,48,48
49,04,Room 221,706-707-4565,Maecenas tincidunt lacus at velit.,49,49
50,05,Apt 1536,214-341-2513,Morbi vel lectus in quam fringilla rhoncus.,50,50
51,03,Room 228,903-960-1407,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",51,51
52,03,Room 863,874-303-1965,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,52,52
53,02,Suite 37,696-271-2545,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",53,53
54,05,PO Box 38571,436-253-9640,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",54,54
55,02,Room 1589,138-846-8373,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,55,55
